id,categoria,edad,genero,estado_civil,ingreso_reportado,maximo_dias_mora,saldo_total,saldo_productos_activos,saldo_productos_pasivos,cantidad_productos_activos,cantidad_productos_pasivos,saldo_en_competencia,monto_credito,plazo_credito,calificacion_crediticia,garantia_credito,tasa_interes
848441,optima,56.0,femenino,casado,127051.0,3.0,594454.0,566997.0,27457.0,4.0,2.0,1456628.36,132000.0,61.0,4.0,fiduciaria,22.52
546497,premier,50.0,masculino,soltero,104132.0,15.0,1701421.0,1620411.0,81010.0,5.0,3.0,929725.55,616000.0,49.0,5.0,fiduciaria,12.28
385562,optima,41.0,masculino,casado,125817.0,22.0,145767.0,125347.0,20420.0,3.0,1.0,,50000.0,41.0,3.0,fiduciaria,17.61
313756,optima,44.0,masculino,soltero,259193.0,13.0,639871.0,611119.0,28752.0,1.0,1.0,619355.32,32000.0,61.0,4.0,fiduciaria,20.82
221247,optima,44.0,femenino,divorciado,29921.0,11.0,187423.0,166242.0,21181.0,1.0,1.0,922632.27,246000.0,57.0,3.0,fiduciaria,15.47
896674,optima,55.0,femenino,casado,39381.0,34.0,955731.0,900877.0,54854.0,4.0,0.2540934519525393,815061.98,1264000.0,312.0,4.0,hipotecaria,7.31
723179,optima,42.0,masculino,casado,34805.0,14.0,87832.0,80476.0,7356.0,2.0,1.0,417849.34,315000.0,60.0,2.0,fiduciaria,18.7
973971,optima,58.0,masculino,casado,61699.0,1.0,50578.0,26042.0,24536.0,2.0,1.0,120735.55,56000.0,54.0,3.0,fiduciaria,17.66
575035,premier,49.0,masculino,casado,103754.0,0.0,459215.0,451733.0,7482.0,2.0,1.0,1422707.6,371000.0,71.0,5.0,fiduciaria,12.14
686691,optima,59.0,femenino,viudo,145618.0,53.0,216469.0,215724.0,745.0,3.0,2.0,998595.45,197000.0,48.0,3.0,prendas,8.44
431371,privada,45.0,masculino,casado,74680.0,1.0,5496198.0,4521781.0,974417.0,3.0,6.0,655062.82,753000.0,44.0,2.0,hipotecaria,5.95
463393,optima,38.0,femenino,casado,52315.0,10.0,1056576.0,1017382.0,39194.0,2.0,1.0,500995.83,56000.0,47.0,4.0,fiduciaria,14.17
473218,optima,42.0,masculino,soltero,112348.0,30.0,1054065.0,1047790.0,6275.0,4.0,1.0,96451.96,137000.0,65.0,4.0,fiduciaria,15.61
301858,optima,38.0,femenino,divorciado,112891.0,24.0,252399.0,233968.0,18431.0,2.0,2.0,135400.22,129000.0,63.0,4.0,fiduciaria,17.16
171037,premier,36.0,masculino,soltero,89422.0,2.0,1243897.0,975218.0,268679.0,4.0,2.0,,13000.0,65.0,4.0,fiduciaria,14.26
249644,premier,43.0,masculino,casado,91693.0,11.0,546972.0,394190.0,152782.0,4.0,2.0,710396.33,104000.0,17.0,2.0,autoliquidable,7.95
854290,optima,28.0,masculino,casado,106258.0,28.0,381039.0,378092.0,2947.0,2.0,1.0,176950.0,91000.0,61.0,4.0,fiduciaria,13.92
690290,premier,45.0,masculino,viudo,,5.0,1694887.0,1479338.0,215549.0,2.0,5.0,931566.62,537000.0,82.0,4.0,fiduciaria,11.57
219950,optima,40.0,masculino,casado,69212.0,5.0,296462.0,237926.0,58536.0,3.0,1.0,118891.85,296000.0,45.0,5.0,fiduciaria,16.97
132830,optima,30.0,masculino,casado,27328.0,98.0,1751211.0,1726734.0,24477.0,2.0,0.0,3627.9,1442000.0,272.0,2.0,hipotecaria,6.68
503358,premier,36.0,femenino,casado,,4.0,309782.0,279705.0,30077.0,4.0,1.0,1479981.77,957000.0,60.0,3.0,fiduciaria,13.13
413594,premier,41.0,masculino,casado,99574.0,14.0,283271.0,279729.0,3542.0,3.0,2.0,277238.13,69000.0,59.0,3.0,fiduciaria,20.41
188594,premier,45.0,femenino,casado,96679.0,8.0,205912.0,197484.0,8428.0,2.0,2.0,457737.72,30000.0,68.0,2.0,fiduciaria,11.03
544511,optima,33.0,femenino,casado,62117.0,11.0,55715.0,13348.0,42367.0,3.0,1.0,86953.88,443000.0,54.0,3.0,fiduciaria,16.76
241502,optima,53.0,masculino,soltero,201206.0,47.0,52109.0,43898.0,8211.0,2.0,2.0,238760.9,71000.0,60.0,4.0,fiduciaria,19.86
733230,premier,39.0,femenino,casado,101601.0,7.0,393805.0,373876.0,19929.0,4.0,2.0,556970.08,844000.0,59.0,4.0,fiduciaria,12.81
253667,optima,52.0,masculino,casado,65126.0,20.0,502433.0,489913.0,12520.0,1.0,1.0,1023443.84,104000.0,47.0,4.0,fiduciaria,14.52
762308,optima,35.0,masculino,casado,34211.0,1.0,492619.0,464527.0,28092.0,4.0,1.0,24404.03,1065000.0,46.0,4.0,fiduciaria,15.73
491188,premier,63.0,masculino,casado,104435.0,11.0,150253.0,129308.0,20945.0,3.0,1.0,1320014.75,52000.0,40.0,4.0,fiduciaria,17.0
629493,optima,46.0,femenino,soltero,61331.0,19.0,448391.0,387859.0,60532.0,5.0,1.0,43771.83,30000.0,56.0,4.0,fiduciaria,20.37
372394,premier,36.0,masculino,casado,101119.0,36.0,1800869.0,1784761.0,16108.0,3.0,3.0,1773135.05,159000.0,67.0,6.0,fiduciaria,14.08
638809,premier,42.0,femenino,casado,64636.0,371.0,2638304.0,2589096.0,49208.0,2.0,3.0,8213193.14,509000.0,182.0,5.0,hipotecaria,6.05
774417,optima,31.0,masculino,casado,43970.0,19.0,69485.0,56808.0,12677.0,2.0,2.0,1428023.99,79000.0,65.0,4.0,fiduciaria,16.64
983392,optima,50.0,femenino,soltero,34405.0,46.0,498759.0,464167.0,34592.0,4.0,0.0,42900.17,394000.0,64.0,5.0,fiduciaria,13.48
792452,optima,26.0,masculino,soltero,125921.0,9.0,194228.0,154764.0,39464.0,3.0,1.0,,97000.0,63.0,3.0,fiduciaria,16.63
294610,optima,52.0,femenino,soltero,121280.0,16.0,222612.0,197799.0,24813.0,4.0,1.0,7897.98,300000.0,62.0,4.0,fiduciaria,20.08
618730,premier,68.0,masculino,casado,97955.0,17.0,1156624.0,1151710.0,4914.0,4.0,1.0,341975.45,33000.0,66.0,4.0,fiduciaria,11.88
623801,premier,72.0,femenino,casado,84138.0,30.0,2395868.0,1843601.0,552267.0,4.0,1.0,124354.96,98000.0,65.0,4.0,fiduciaria_prendas,7.91
626425,optima,53.0,masculino,casado,213514.0,16.0,396961.0,304963.0,91998.0,3.0,2.0,1091538.25,1205000.0,58.0,3.0,fiduciaria,16.27
190763,optima,53.0,masculino,casado,87862.0,53.0,326590.0,267170.0,59420.0,2.0,0.0,77470.39,1237000.0,168.0,3.0,hipotecaria,8.11
842209,optima,52.0,femenino,viudo,117580.0,68.0,84094.0,57902.0,26192.0,2.0,2.0,239779.81,49000.0,77.0,6.0,fiduciaria,7.27
485000,optima,31.0,masculino,casado,42136.0,60.0,2307966.0,2300997.0,6969.0,1.0,1.0,4227.98,505000.0,94.0,2.0,hipotecaria,6.63
702833,optima,37.0,masculino,casado,44091.0,23.0,128813.0,101627.0,27186.0,4.0,0.0,1311626.44,56000.0,58.0,5.0,fiduciaria,18.32
788732,premier,35.0,femenino,casado,98574.0,1.0,604577.0,585921.0,18656.0,3.0,1.0,128420.45,652000.0,50.0,4.0,fiduciaria,13.15
880277,optima,57.0,femenino,casado,,20.0,54764.0,35222.0,19542.0,2.0,0.0,514790.47,327000.0,31.0,2.0,fiduciaria,17.59
796659,optima,35.0,masculino,casado,74974.0,191.0,664561.0,663996.0,565.0,2.0,1.0,252672.3,180000.0,320.0,4.0,hipotecaria,6.3
196735,optima,37.0,femenino,soltero,35903.0,4.0,337481.0,334480.0,3001.0,2.0,1.0,95925.63,367000.0,182.0,2.0,hipotecaria,7.94
472461,optima,35.0,masculino,casado,47123.0,20.0,321627.0,309186.0,12441.0,6.0,1.0,43959.23,170000.0,82.0,4.0,fiduciaria,14.17
585485,premier,41.0,masculino,casado,86781.0,22.0,1397961.0,1269563.0,128398.0,3.0,0.0,1047107.28,252000.0,53.0,4.0,fiduciaria,13.07
107832,premier,58.0,femenino,viudo,,21.0,1778037.0,207586.0,1570451.0,1.0,1.0,286697.91,65000.0,49.0,2.0,autoliquidable,7.78
403043,premier,54.0,femenino,casado,84577.0,16.0,701382.0,573192.0,128190.0,4.0,4.0,146728.5,118000.0,44.0,3.0,prendas,8.35
275715,optima,34.0,masculino,soltero,158207.0,23.0,113504.0,89286.0,24218.0,4.0,4.0,,180000.0,49.0,4.0,fiduciaria,20.68
622301,optima,25.0,masculino,casado,,28.0,381599.0,356160.0,25439.0,4.0,1.0,9882.55,35000.0,49.0,5.0,fiduciaria,16.96
298439,optima,54.0,femenino,casado,79590.0,28.0,671267.0,658461.0,12806.0,2.0,2.0,42690.64,168000.0,67.0,4.0,fiduciaria,13.76
109706,premier,39.0,masculino,casado,97561.0,161.0,712965.0,709196.0,3769.0,5.0,1.0,172308.62,420000.0,271.0,5.0,hipotecaria,7.12
141014,premier,41.0,masculino,soltero,98668.0,0.0,1780298.0,1712343.0,67955.0,53.0,1.0,179522.08,1350000.0,320.0,2.0,fiduciaria_bienes_inmuebles,6.73
353153,optima,46.0,femenino,soltero,,4.0,863403.0,833012.0,30391.0,1.0,0.0,269790.77,205000.0,61.0,3.0,prendas,8.41
930132,optima,45.0,masculino,divorciado,48164.0,33.0,1550498.0,1540194.0,10304.0,2.0,1.0,67203.95,1441000.0,165.0,3.0,hipotecaria,7.5
958045,optima,72.0,masculino,casado,55665.0,16.0,161226.0,128050.0,33176.0,3.0,2.0,979073.74,394000.0,65.0,3.0,fiduciaria,11.97
357348,optima,58.0,femenino,casado,60635.0,16.0,289395.0,281814.0,7581.0,1.0,1.0,79788.93,771000.0,59.0,4.0,fiduciaria,15.5
871889,premier,40.0,femenino,casado,97027.0,35.0,1153023.0,1100605.0,52418.0,1.0,2.0,34008.84,67000.0,81.0,4.0,fiduciaria,10.83
279206,optima,37.0,masculino,casado,51408.0,15.0,882922.0,864798.0,18124.0,3.0,1.0,72381.92,125000.0,65.0,5.0,fiduciaria,13.72
988763,optima,36.0,masculino,casado,101626.0,15.0,741925.0,720827.0,21098.0,1.0,2.0,1156705.81,213000.0,67.0,5.0,fiduciaria,11.74
627256,optima,34.0,masculino,soltero,42066.0,2.0,91438.0,41324.0,50114.0,1.0,1.0,132909.11,263000.0,45.0,3.0,fiduciaria,12.99
476470,premier,29.0,femenino,casado,,4.0,806263.0,528213.0,278050.0,3.0,1.0,,1599000.0,57.0,3.0,fiduciaria,13.31
191327,optima,37.0,femenino,casado,42909.0,45.0,155678.0,150433.0,5245.0,2.0,1.0,956208.75,70000.0,58.0,4.0,fiduciaria,20.01
946477,privada,52.0,masculino,casado,121922.0,72.0,239079.0,238885.0,194.0,3.0,1.0,293133.47,286000.0,43.0,5.0,fiduciaria,11.32
677515,premier,42.0,masculino,casado,94488.0,21.0,646023.0,560739.0,85284.0,4.0,4.0,,193000.0,63.0,3.0,fiduciaria_prendas,7.73
471791,optima,36.0,femenino,casado,93000.0,75.0,603092.0,600382.0,2710.0,4.0,0.0,262135.34,94000.0,40.0,5.0,fiduciaria,13.92
630485,privada,60.0,femenino,casado,53366.0,5.0,2373760.0,130459.0,2243301.0,1.0,4.0,1738909.67,148000.0,22.0,2.0,autoliquidable,8.16
435188,optima,36.0,femenino,divorciado,158978.0,39.0,480017.0,472400.0,7617.0,2.0,1.0,334544.36,153000.0,63.0,4.0,fiduciaria,16.28
979548,premier,44.0,masculino,soltero,104285.0,63.0,1059907.0,1019675.0,40232.0,4.0,1.0,,142000.0,45.0,5.0,fiduciaria,13.8
346972,optima,59.0,femenino,casado,257222.0,14.0,113045.0,97329.0,15716.0,2.0,2.0,,246000.0,33.0,3.0,fiduciaria,19.67
174386,optima,68.0,femenino,casado,105046.0,20.0,26225.0,2001.0,24224.0,5.0,1.0,1209908.69,246000.0,65.0,3.0,fiduciaria,13.32
286130,optima,61.0,femenino,casado,127993.0,29.0,280855.0,274140.0,6715.0,2.0,2.0,64039.72,122000.0,41.0,5.0,fiduciaria,14.98
153870,optima,53.0,femenino,soltero,188725.0,6.0,343194.0,284740.0,58454.0,6.0,0.0,429688.5,234000.0,60.0,5.0,fiduciaria,17.87
875409,optima,29.0,femenino,soltero,89431.0,18.0,483578.0,470745.0,12833.0,3.0,2.0,1252455.94,951000.0,65.0,6.0,fiduciaria,14.34
132323,optima,36.0,femenino,soltero,130265.0,84.0,339398.0,315793.0,23605.0,1.0,1.0,222669.21,120000.0,67.0,6.0,fiduciaria,16.04
853915,optima,44.0,masculino,casado,,66.0,286796.0,170175.0,116621.0,3.0,1.0,8709.75,196000.0,60.0,5.0,fiduciaria,15.42
928226,optima,49.0,femenino,casado,83901.0,8.0,206546.0,171004.0,35542.0,1.0,2.0,30009.53,227000.0,73.0,2.0,prendas,8.05
779030,optima,50.0,masculino,casado,114020.0,56.0,553887.0,411966.0,141921.0,5.0,0.0,1268143.54,1165000.0,199.0,3.0,hipotecaria,7.53
789627,optima,47.0,masculino,divorciado,41270.0,8.0,891711.0,891667.0,44.0,2.0,3.0,90672.97,44000.0,54.0,5.0,fiduciaria,17.81
818268,optima,34.0,femenino,casado,63037.0,3.0,322793.0,247711.0,75082.0,3.0,1.0,250958.78,155000.0,64.0,4.0,fiduciaria,14.83
871996,optima,41.0,femenino,divorciado,53409.0,20.0,93909.0,84968.0,8941.0,2.0,1.0,104057.24,243000.0,77.0,2.0,prendas,8.85
881670,optima,43.0,femenino,casado,117171.0,0.0,118647.0,85312.0,33335.0,2.0,1.0,,162000.0,71.0,2.0,fiduciaria,10.13
409372,optima,40.0,femenino,casado,31675.0,30.0,174000.0,72805.0,101195.0,3.0,3.0,271832.19,87000.0,75.0,3.0,fiduciaria,13.92
120003,optima,27.0,masculino,casado,59117.0,2.0,180271.0,177974.0,2297.0,2.0,1.0,1256315.16,78000.0,69.0,2.0,prendas,9.3
286105,premier,58.0,masculino,casado,,57.0,1626279.0,1420560.0,205719.0,4.0,4.0,,2543000.0,301.0,3.0,hipotecaria,7.08
890707,premier,38.0,masculino,casado,,32.0,1528881.0,1481356.0,47525.0,3.0,5.0,301257.66,11000.0,73.0,5.0,fiduciaria,12.69
100847,optima,43.0,masculino,soltero,,8.0,97641.0,92126.0,5515.0,4.0,2.0,367426.9,84000.0,39.0,3.0,fiduciaria,18.69
950014,optima,62.0,masculino,casado,,13.0,69532.0,11752.0,57780.0,3.0,3.0,206777.29,78000.0,69.0,3.0,fiduciaria,13.69
549111,privada,45.0,masculino,divorciado,72929.0,17.0,3310102.0,1015330.0,2294772.0,4.0,0.0,32384.85,4000.0,37.0,3.0,autoliquidable,5.84
434975,premier,36.0,masculino,casado,90386.0,0.0,584293.0,67035.0,517258.0,4.0,3.0,1998.95,333000.0,92.0,2.0,fiduciaria_prendas,7.58
994093,optima,47.0,masculino,casado,,18.0,317628.0,310762.0,6866.0,1.0,2.0,300399.9,249000.0,24.0,4.0,fiduciaria,13.91
419783,optima,37.0,femenino,casado,97448.0,8.0,1117762.0,1112051.0,5711.0,2.0,2.0,163663.34,224000.0,56.0,5.0,fiduciaria,13.21
301647,optima,60.0,femenino,viudo,271231.0,6.0,592660.0,582792.0,9868.0,2.0,1.0,1174096.15,216000.0,40.0,5.0,fiduciaria,14.97
300324,premier,49.0,femenino,casado,108551.0,59.0,1531951.0,1463779.0,68172.0,2.0,2.0,1054.26,1496000.0,203.0,3.0,hipotecaria,7.3
450416,optima,33.0,masculino,casado,220413.0,0.0,284848.0,217095.0,67753.0,4.0,0.0,1276085.2,179000.0,55.0,5.0,fiduciaria,20.51
305420,premier,41.0,femenino,divorciado,85912.0,2.0,1040940.0,900264.0,140676.0,4.0,1.0,53228.16,318000.0,59.0,4.0,fiduciaria,13.85
559222,premier,42.0,masculino,casado,,2.0,432278.0,411996.0,20282.0,1.0,1.0,274923.87,1536000.0,43.0,4.0,fiduciaria,10.37
583916,premier,53.0,femenino,casado,81208.0,3.0,737334.0,573656.0,163678.0,3.0,3.0,116416.89,213000.0,49.0,4.0,fiduciaria,9.31
712526,premier,68.0,masculino,casado,104689.0,44.0,808459.0,801000.0,7459.0,2.0,2.0,342269.02,69000.0,238.0,4.0,hipotecaria,9.12
843457,optima,35.0,femenino,divorciado,,1.0,207797.0,171973.0,35824.0,1.0,2.0,254.82,184000.0,52.0,3.0,prendas,7.98
254268,optima,36.0,masculino,casado,126857.0,4.0,154378.0,147201.0,7177.0,4.0,0.0,83295.47,64000.0,46.0,3.0,fiduciaria,23.51
314129,optima,41.0,masculino,soltero,90178.0,9.0,271367.0,268554.0,2813.0,5.0,0.0,1034579.92,21000.0,70.0,5.0,fiduciaria,12.58
232847,optima,36.0,masculino,casado,,11.0,1001795.0,979651.0,22144.0,3.0,2.0,563109.92,427000.0,62.0,5.0,fiduciaria,12.92
197240,optima,40.0,femenino,divorciado,34710.0,64.0,255747.0,213687.0,42060.0,3.0,1.0,307934.23,493000.0,54.0,5.0,fiduciaria,15.35
115244,optima,54.0,masculino,soltero,,22.0,167331.0,149319.0,18012.0,2.0,4.0,377712.81,144000.0,43.0,3.0,fiduciaria,20.25
487055,optima,48.0,femenino,casado,188402.0,1.0,82140.0,36110.0,46030.0,4.0,1.0,242745.47,348000.0,54.0,2.0,fiduciaria,13.64
852563,optima,29.0,femenino,casado,79812.0,2.0,203190.0,199694.0,3496.0,3.0,1.0,706003.28,36000.0,64.0,6.0,fiduciaria,17.25
156644,premier,42.0,femenino,casado,87079.0,9.0,62408.0,44864.0,17544.0,4.0,2.0,1200713.41,103000.0,64.0,2.0,fiduciaria,13.89
572717,premier,54.0,masculino,casado,85066.0,5.0,62026.0,19134.0,42892.0,3.0,6.0,4259279.08,476000.0,76.0,2.0,fiduciaria,11.73
815410,premier,54.0,femenino,casado,122142.0,13.0,475571.0,475570.0,1.0,1.0,4.0,25146.84,1403000.0,288.0,2.0,fiduciaria_bienes_inmuebles,8.0
490976,premier,51.0,femenino,casado,94403.0,59.0,30584.0,15328.0,15256.0,3.0,1.0,,123000.0,53.0,3.0,fiduciaria,14.71
852038,optima,43.0,femenino,soltero,165930.0,37.0,120865.0,105175.0,15690.0,2.0,1.0,23790.78,360000.0,48.0,5.0,fiduciaria,15.56
103139,optima,31.0,masculino,casado,128281.0,4.0,492329.0,230713.0,261616.0,1.0,1.0,1238080.16,135000.0,67.0,3.0,prendas,7.94
400681,optima,43.0,masculino,casado,93008.0,2.0,1132234.0,1111062.0,21172.0,6.0,1.0,255474.45,266000.0,82.0,3.0,fiduciaria,8.88
437118,optima,31.0,femenino,casado,67877.0,3.0,162671.0,147166.0,15505.0,1.0,2.0,257574.96,287000.0,73.0,5.0,fiduciaria,13.64
887767,optima,46.0,masculino,casado,79138.0,26.0,1204132.0,1199221.0,4911.0,4.0,1.0,1200707.62,72000.0,66.0,4.0,fiduciaria,16.76
592916,optima,44.0,femenino,casado,38449.0,24.0,639947.0,597459.0,42488.0,2.0,1.0,104645.58,189000.0,52.0,3.0,prendas,8.22
827395,optima,35.0,femenino,casado,204842.0,24.0,296382.0,254881.0,41501.0,1.0,3.0,934282.71,239000.0,45.0,4.0,fiduciaria,14.12
117836,optima,54.0,femenino,soltero,28115.0,17.0,615641.0,615556.0,85.0,2.0,2.0,44545.06,64000.0,58.0,3.0,prendas,9.03
474692,optima,49.0,masculino,casado,30055.0,27.0,811413.0,779679.0,31734.0,1.0,2.0,909375.38,164000.0,37.0,5.0,fiduciaria,13.36
195508,premier,47.0,masculino,divorciado,83978.0,8.0,2042689.0,2011593.0,31096.0,3.0,2.0,637658.26,1095000.0,84.0,4.0,fiduciaria,10.65
425736,premier,27.0,femenino,divorciado,89266.0,16.0,669689.0,651079.0,18610.0,3.0,2.0,4793.46,24000.0,70.0,2.0,fiduciaria,11.88
899087,optima,43.0,femenino,casado,54560.0,11.0,507745.0,487203.0,20542.0,3.0,2.0,462271.04,119000.0,50.0,4.0,fiduciaria,15.13
440210,premier,43.0,masculino,viudo,95132.0,10.0,1894601.0,1794351.0,100250.0,4.0,1.0,289163.1,160000.0,46.0,3.0,fiduciaria,16.63
198382,optima,55.0,femenino,casado,124657.0,13.0,691693.0,672565.0,19128.0,2.0,1.0,201871.62,791000.0,70.0,5.0,fiduciaria,10.48
810653,privada,43.0,femenino,soltero,126220.0,6.0,1964018.0,1366923.0,597095.0,3.0,1.0,972875.06,4866000.0,33.0,5.0,fiduciaria,8.5
317288,optima,72.0,femenino,soltero,71114.0,4.0,389065.0,367454.0,21611.0,2.0,2.0,284062.8,37000.0,51.0,5.0,fiduciaria,18.36
534198,optima,63.0,masculino,soltero,77785.0,11.0,373614.0,341656.0,31958.0,1.0,2.0,,246000.0,62.0,3.0,fiduciaria,13.17
271039,optima,50.0,femenino,casado,189861.0,12.0,154839.0,135240.0,19599.0,4.0,0.0,393051.06,186000.0,44.0,3.0,fiduciaria,18.04
657631,premier,35.0,masculino,soltero,,18.0,2926113.0,2729667.0,196446.0,2.0,3.0,16475.29,629000.0,132.0,3.0,hipotecaria,6.46
551198,optima,41.0,masculino,casado,69606.0,3.0,104511.0,3245.0,101266.0,2.0,2.0,115771.01,207000.0,45.0,3.0,fiduciaria,17.28
563016,optima,39.0,masculino,casado,30932.0,26.0,1165822.0,1139113.0,26709.0,2.0,1.0,304411.46,368000.0,51.0,4.0,fiduciaria,15.25
521694,premier,57.0,masculino,soltero,88930.0,5.0,1864678.0,1840043.0,24635.0,3.0,2.0,100461.17,227000.0,75.0,4.0,fiduciaria,9.47
475223,optima,37.0,masculino,soltero,107448.0,40.0,521862.0,513503.0,8359.0,3.0,2.0,631965.14,218000.0,48.0,5.0,fiduciaria,13.15
349294,premier,41.0,masculino,casado,91601.0,4.0,197826.0,116063.0,81763.0,1.0,0.0,196852.93,1049000.0,58.0,3.0,fiduciaria,11.36
622572,optima,34.0,masculino,casado,36901.0,28.0,110840.0,47637.0,63203.0,3.0,1.0,,177000.0,40.0,3.0,fiduciaria,18.67
122370,optima,46.0,femenino,casado,102726.0,19.0,161370.0,132126.0,29244.0,3.0,1.0,702160.62,274000.0,21.0,3.0,fiduciaria,15.51
930283,optima,45.0,masculino,divorciado,184725.0,5.0,793250.0,784963.0,8287.0,3.0,2.0,1202566.51,155000.0,62.0,4.0,fiduciaria,14.55
958530,optima,63.0,masculino,divorciado,81178.0,4.0,462163.0,451704.0,10459.0,3.0,0.0,116781.44,774000.0,45.0,4.0,fiduciaria,14.72
972458,optima,44.0,femenino,casado,121245.0,28.0,262987.0,176555.0,86432.0,3.0,1.0,234726.92,249000.0,51.0,4.0,fiduciaria,17.15
625984,optima,57.0,masculino,viudo,280838.0,40.0,62998.0,8920.0,54078.0,1.0,1.0,501251.13,29000.0,71.0,2.0,prendas,9.58
192261,optima,28.0,masculino,soltero,,35.0,878391.0,872215.0,6176.0,1.0,3.0,48221.33,231000.0,51.0,4.0,fiduciaria,9.58
850320,optima,50.0,femenino,soltero,49403.0,5.0,401151.0,277387.0,123764.0,7.0,3.0,799008.6,633000.0,51.0,3.0,fiduciaria,15.15
527635,optima,44.0,femenino,casado,,5.0,119185.0,71779.0,47406.0,6.0,1.0,322591.01,87000.0,61.0,3.0,fiduciaria,18.07
501068,optima,29.0,masculino,casado,112608.0,3.0,961813.0,960977.0,836.0,4.0,1.0,,199000.0,72.0,6.0,fiduciaria,8.6
883584,optima,38.0,femenino,casado,,11.0,511164.0,503131.0,8033.0,3.0,2.0,943839.5,459000.0,45.0,4.0,fiduciaria,15.09
983800,premier,36.0,femenino,divorciado,98025.0,5.0,483283.0,472774.0,10509.0,2.0,2.0,1045624.8,119000.0,50.0,5.0,fiduciaria,10.19
